MRCO_36647, material-9, jacarandá | madeira
MINC_24169, material, Madeira > Cedro | Folha-de-flandres | Tintas
MCHE_61646, materiais, Madeira | Palhinha
MINC_46756, material, Prata
MINC_203688, material, Bronze | Madeira
MCHA_18749, materiais_tecnicas-2, Porcelana
MINC_170784, material, Madeira | Ouro | Tintas
MINC_127883, material, Madeira > Jacarandá | Palha > Junco
MCHA_47869, materiais_tecnicas-2, Vidro
MHNA_166225, material, porcelana
MCHE_66001, materiais, Cerâmica | Pó de Ouro
MDIA_31220, material-tecnica-3, douramento | entalhe | folha de ouro | madeira | pedra | policromia | recorte | tinta | vidro
MCHE_74403, materiais, Gesso | Madeira | Pó de Ouro
MINC_11995, material, Ferro | Latão
MOUR_5328, material-tecnica-3, madeira recortada | metal | torneado
MCPR_36799, material, Rocha > Argila
MCHE_68586, materiais, Cerâmica | Pó de Ouro
MCHA_31911, materiais_tecnicas-2, Vidro
MRSJ_21396, material-3, Madeira | Metal
MBAN_2883, material, Couro > Couro Lavrado | Madeira
MCHE_65747, materiais, Cerâmica | Pó de Ouro
MCBC_10373, material, Tecido
MINC_34691, material, Madeira | Pedra > Talcita | Tintas
MINC_6640, material, Madeira > Cedro
MINC_201935, material, Madeira > Cedro | Tintas
MBAN_14836, material, Metal > Bronze
MCBC_10749, material, Vidro > Cristal
MCPR_37668, material, Metal
MCHE_69066, materiais, Cerâmica | Pó de Ouro
MDIA_31207, material-tecnica-3, douramento | entalhe | folha de ouro | fundição | madeira | metal | policromia | tinta
MCHE_69505, materiais, Prata
MDIA_32223, material-tecnica-3, fundição | madeira | marcenaria | metal
MINC_141518, material, Folha-de-flandres | Tintas
MRCO_35830, material-9, folha de ouro | madeira | tinta
MRSJ_22258, material-3, Madeira | Metal
MCHE_49872, materiais, Prata
MINC_82395, material, Madeira > Cedro | Madeira > Jacarandá
MCHE_56090, materiais, Cerâmica | Pó de Ouro
MCHE_70529, materiais, Vidro
MCHE_74349, materiais, Gesso | Madeira | Pó de Ouro
MCHE_75872, materiais, Madeira | Pó de Ouro
MCHE_51887, materiais, Madeira | Palhinha
MINC_82874, material, Madeira > Cedro | Ouro | Tintas
MCHA_15078, materiais_tecnicas-2, Madeira
MINC_111163, material, Latão
MCBC_9214, material, Madeira > Jacarandá | Palhinha
MCHA_27613, materiais_tecnicas-2, Vidro
MINC_209191, material, Madeira
MCHE_58098, materiais, Prata
MINC_184252, material, Madeira > Jacarandá
MCHE_48838, materiais, Cerâmica | Pó de Ouro
MCHE_67714, materiais, Madeira | Palhinha
MCHA_20384, materiais_tecnicas-2, Porcelana
MCPR_36954, material, Rocha > Argila
MCHE_48469, materiais, Madeira | Palhinha
MCHA_25704, materiais_tecnicas-2, Porcelana
MCHE_57737, materiais, Prata
MINC_42542, material, Madeira > Jacarandá
MCBC_11696, material, Madeira > Ébano | Metal
MCBC_10811, material, Argila
MCBC_11690, material, Madeira > Ébano | Metal
MINC_208246, material, Madeira > Jacarandá | Madeira > Vinhático
MRCO_36029, material-9, vidro
MCHE_46776, materiais, Prata
MCHA_22473, materiais_tecnicas-2, Porcelana
MCHA_20119, materiais_tecnicas-2, Porcelana
MCHE_75384, materiais, Madeira | Mármore
MINC_208492, material, Madeira > Jacarandá | Palha > Junco
MINC_37422, material, Madeira | Tintas
MCHA_25020, materiais_tecnicas-2, Porcelana
MINC_230883, material, 
MCPR_37327, material, Rocha > Argila | Pigmento
MCHE_73836, materiais, Gesso | Madeira | Pó de Ouro
MINC_35881, material, Madeira | Pedra > Talcita | Tintas
MCHE_54258, materiais, Prata
MASB_62111, material, Madeira
MCBC_10821, material, Cordão Torcido | Couro | Metal | Tinta
MCBC_9212, material, Madeira > Jacarandá | Palhinha
MINC_139689, material, Folha-de-flandres | Vidro
MOUR_5326, material-tecnica-3, madeira | marcenaria
MRSJ_20092, material-3, Madeira
MINC_147755, material, Folha-de-flandres | Tintas | Vidro
MCPR_45480, material, Metal > Metal Fundido | Metal > Metal Moldado
MCHA_27451, materiais_tecnicas-2, Vidro
MINC_96775, material, Vidro
MINC_100445, material, Ferro | Madeira > Jacarandá | Latão
MINC_35590, material, Madeira | Pedra > Talcita | Tintas
MINC_99729, material, Madeira > Jacarandá | Madeira
MDIA_31619, material-tecnica-3, douramento | entalhe | folha de ouro | fundição | impressão | litografia | madeira | metal | papel | policromia | tinta
MINC_174195, material, Madeira
MCHE_65657, materiais, Cerâmica | Pó de Ouro
MRSJ_20176, material-3, Madeira
MDIA_32016, material-tecnica-3, fundição | gravação | metal
MINC_5584, material, Ferro | Madeira
MINC_182813, material, Madeira | Tintas
MINC_141606, material, Folha-de-flandres | Tintas
MRSJ_24165, material-3, Madeira | Purpurina
MCHE_71917, materiais, Cobre
MCHA_27424, materiais_tecnicas-2, Vidro
MINC_73362, material, Madeira
MRCO_36515, material-9, madeira | palinha
MCHE_64385, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MCBC_11145, material, Madeira | Mármore
MINC_145814, material, Ferro
MCPR_37078, material, Rocha > Argila
MINC_233159, material, Alabastro | Conchas | Madeira
MCPR_37761, material, Metal
MINC_175075, material, Ferro | Madeira | Tintas
MRSJ_23119, material-3, Madeira | Palhinha
MCHE_75223, materiais, Madeira | Palhinha
MDIA_33830, material-tecnica-3, pintura | porcelana | queima | tinta
MRSJ_20705, material-3, Madeira | Metal
MCHA_35193, materiais_tecnicas-2, Tecido de algodão com bordados
MCBC_11656, material, Madeira > Ébano | Metal
MINC_232335, material, 
MCHA_20020, materiais_tecnicas-2, Porcelana
MCHA_19493, materiais_tecnicas-2, Porcelana
MINC_148443, material, Latão
MRCO_36649, material-9, metal > bronze | metal | vidro
MCHE_68343, materiais, Cerâmica | Pó de Ouro
MRCO_35901, material-9, ferro | madeira | tinta | vidro
MCHE_59710, materiais, Prata
MINC_185591, material, Madeira > Jacarandá
MHNA_162921, material, prata
MCHE_60007, materiais, Prata
MINC_82992, material, Folha-de-flandres | Tintas | Vidro
MCBC_9498, material, Madeira > Jacarandá | Palhinha
MCHE_72398, materiais, Cristal
MRSJ_23572, material-3, Madeira | Palhinha
MINC_162603, material, Latão
MHNA_166099, material, porcelana
MDIA_33881, material-tecnica-3, fundição | metal
MCHE_47660, materiais, Cerâmica | Pó de Ouro
MINC_207830, material, Madeira > Jacarandá | Fibra Têxtil > Seda
MRCO_36239, material-9, madeira
MCHE_45199, materiais, Cobre | Cristal Bacará
MDIA_31278, material-tecnica-3, entrançado | madeira | marcenaria | palhinha
MCHE_53083, materiais, Cerâmica | Pó de Ouro
MHNA_168096, material, cristal
MDIA_32314, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MCHE_74295, materiais, Gesso | Madeira | Pó de Ouro
MCHA_19090, materiais_tecnicas-2, Porcelana
MHNA_163244, material, prata
MINC_39549, material, Madeira | Ouro | Tintas
MINC_85220, material, Madeira | Tintas
MRCO_36581, material-9, ferro batido | madeira | tinta
MINC_228547, material, 
MCHE_68433, materiais, Cerâmica | Pó de Ouro
MCBC_10494, material, Couro | Madeira | Palhinha
MINC_100020, material, Madeira
MINC_70355, material, Madeira > Jacarandá | Madeira
MCHE_59173, materiais, Prata
MINC_233251, material, 
MINC_146913, material, Palha > Junco | Madeira
MCHE_53505, materiais, Cerâmica | Pó de Ouro | Tinta
MCBC_10643, material, Metal > Prata
MINC_140680, material, Folha-de-flandres | Tintas
MCHE_69898, materiais, Madeira | Palhinha
MRCO_36474, material-9, madeira | tinta
MBAN_3449, material, Madeira > Cedro
MCHE_49784, materiais, Prata
MCHA_19338, materiais_tecnicas-2, Porcelana
MBAN_2506, material, Madeira
MCHE_50469, materiais, Madeira | Palhinha
MCHE_63068, materiais, Cerâmica | Pó de Ouro
MCHE_56482, materiais, Prata
MASB_61987, material, Madeira
MCPR_24819, material, Madeira | Metal
MHNA_166419, material, porcelana
MCHE_44927, materiais, Cobre | Cristal Bacará
MINC_22110, material, Madeira > Cedro | Couro | Ferro
MCHA_21932, materiais_tecnicas-2, Porcelana
MINC_225875, material, 
MCHE_60305, materiais, Prata
MCHE_48678, materiais, Cerâmica | Pó de Ouro
MINC_37510, material, Madeira | Ouro | Tintas
MASB_61894, material, Madeira > Cedro
MCHE_51991, materiais, Madeira | Mármore
MBAN_2924, material, Madeira
MCBC_11638, material, Madeira > Ébano | Metal
MINC_41569, material, Madeira
MINC_111203, material, Prata
MCHE_65777, materiais, Cerâmica | Pó de Ouro
MINC_163255, material, Latão
MCHE_72570, materiais, Cristal
MCHE_52024, materiais, Prata
MCHE_60959, materiais, Madeira Jacarandá | Palhinha
MBAN_5156, material, Madeira | Fibra > Fibra Vegetal > Palhinha
MINC_187378, material, Madeira
MCHE_52873, materiais, Cerâmica | Pó de Ouro
MCHA_18687, materiais_tecnicas-2, Porcelana
MCHA_27962, materiais_tecnicas-2, Vidro
MRSJ_24204, material-3, Madeira | Tinta
MCHE_58304, materiais, Prata
MCHE_74786, materiais, Madeira | Palhinha
MCHA_24380, materiais_tecnicas-2, Porcelana
MCHE_54503, materiais, Cerâmica | Pó de Ouro
MHNA_167735, material, prata
MDIA_30964, material-tecnica-3, fundição | metal
MCHE_63667, materiais, Cerâmica | Pó de Ouro
MCHE_48066, materiais, Madeira | Palhinha
MINC_172147, material, Couro | Latão | Madeira
MINC_174657, material, Ferro | Madeira
MINC_105802, material, Argila > Barro | Esmalte | Verniz
MINC_228776, material, 
MCPR_33403, material, Madeira | Metal
MRSJ_23803, material-3, Folha de Ouro | Madeira | Metal | Tinta
MCHE_64778, materiais, Cerâmica | Pó de Ouro | Tinta
MCHA_26683, materiais_tecnicas-2, Vidro
MASB_51923, material, Metal > Latão | Plástico
MCHA_27505, materiais_tecnicas-2, Vidro
MCHE_74241, materiais, Gesso | Madeira | Pó de Ouro
MINC_230583, material, 
MCHE_43191, materiais, Prata
MINC_92354, material, Folha-de-flandres | Vidro
MINC_39165, material, Ferro | Madeira > Jacarandá
MCHE_40490, materiais, Madeira | Palhinha
MCHE_69963, materiais, Madeira | Palhinha
MCHA_15296, materiais_tecnicas-2, Madeira
MINC_163415, material, Latão
MCHE_47822, materiais, Madeira Jacarandá
MCHE_64287, materiais, Espelho de Cristal | Gesso | Madeira | Pó de Ouro
MINC_140725, material, Folha-de-flandres | Tintas
MDIA_31992, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MINC_193028, material, Madeira
MCBC_10071, material, Argila
MCHE_76072, materiais, Madeira | Pó de Ouro
MCHE_43598, materiais, Cerâmica | Pó de Ouro | Tinta
MCHA_25110, materiais_tecnicas-2, Porcelana
MINC_72548, material, Ferro | Madeira | Tintas
MCPR_36078, material, Metal > Ferro | Madeira | Pigmento
MCHA_25140, materiais_tecnicas-2, Porcelana
MCHE_71153, materiais, Madeira | Metal | Palhinha
MCHE_43097, materiais, Prata
MCHE_54743, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_225605, material, 
MRCO_35899, material-9, folha de ouro | madeira | tinta
MINC_35633, material, Madeira | Pedra > Talcita | Tintas
MCHA_23194, materiais_tecnicas-2, Porcelana
MRSJ_22668, material-3, Madeira | Palhinha
MCHE_45480, materiais, Madeira | Palhinha
MCPR_44137, material, Madeira | Metal
MINC_141210, material, Folha-de-flandres | Tintas
MINC_229431, material, 
MCBC_9452, material, Vidro
MRCO_36179, material-9, ferro | metal
MCHE_75057, materiais, Madeira | Palhinha
MINC_163295, material, Latão
MCHE_68976, materiais, Cerâmica | Pó de Ouro
MBAN_14308, material, Madeira | Fibra > Fibra Vegetal > Palha
MDIA_31681, material-tecnica-3, madeira | marcenaria | torneado
MCHE_43566, materiais, Cerâmica | Pó de Ouro | Tinta
MCBC_9556, material, Metal
MCHE_73300, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_67941, materiais, Madeira | Mármore
MCHE_60247, materiais, Prata
MBAN_2017, material, Madeira
MCPR_35017, material, Metal > Ferro | Madeira | Poliamidas > Nylon
MCHE_58664, materiais, Prata
MINC_161776, material, Madeira > Jacarandá
MCHE_49843, materiais, Prata
MINC_110145, material, Prata
MCHA_22048, materiais_tecnicas-2, Porcelana
MRSJ_23840, material-3, Folha de Ouro | Madeira | Metal | Tinta
MRSJ_22463, material-3, Madeira | Palhinha
MBAN_5674, material, Rocha > Argila
MINC_17873, material, Madeira
MCHE_69800, materiais, Cerâmica | Pó de Ouro
MCHE_64877, materiais, Cobre | Cristal Bacará
MRCO_35941, material-9, madeira | palinha
MCHA_22879, materiais_tecnicas-2, Porcelana
MINC_226005, material, 
MCHE_73125, materiais, Cerâmica | Pó de Ouro
MCBC_11660, material, Madeira > Ébano | Metal
MCHE_41104, materiais, Madeira | Metal | Palhinha
MRSJ_21764, material-3, Madeira
MRSJ_20787, material-3, Madeira
MINC_226092, material, 
MCHE_72041, materiais, Cobre | Cristal Bacará
MDIA_32011, material-tecnica-3, fundição | metal
MRSJ_21273, material-3, Madeira
MINC_227162, material, 
MCHE_67777, materiais, Cerâmica | Pó de Ouro
MCHE_45951, materiais, Madeira
MINC_141870, material, Folha-de-flandres | Tintas
MDIA_31525, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | marchetaria | palhinha
MINC_99787, material, Madeira > Jacarandá | Madeira
MDIA_31652, material-tecnica-3, douramento | entalhe | folha de ouro | madeira | pedra | policromia | recorte | tinta | vidro
MINC_127787, material, Madeira > Jacarandá | Palha > Junco | Madeira
MCHA_47319, materiais_tecnicas-2, Vidro
MCHA_37884, materiais_tecnicas-2, Metal | Vidro
MINC_140064, material, Folha-de-flandres | Tintas
MCHE_63821, materiais, Cristal | Metal
MBAN_4805, material, Madeira > Jacarandá | Fibra > Fibra Vegetal > Palhinha
MABO_504, material, madrepérola | prata
MCHE_59887, materiais, Prata
MINC_192536, material, Madeira | Tintas
MCBC_11440, material, Resina | Vidro
MCHE_73242, materiais, Cerâmica | Pó de Ouro | Tinta
MCHE_62760, materiais, Cerâmica | Pó de Ouro
MBAN_5118, material, Madeira | Fibra > Fibra Vegetal > Palhinha
MINC_124851, material, Latão
MINC_111250, material, Prata
MINC_42859, material, Madeira | Tintas
MCHE_69863, materiais, Madeira | Palhinha
MRSJ_20340, material-3, Madeira
MRSJ_27849, material-3, Folha de Ouro | Porcelana | Tinta
MINC_124172, material, Folha-de-flandres | Madeira
MCHE_47157, materiais, Madeira | Palhinha
MCHE_54929, materiais, Cerâmica
MINC_204871, material, Palha > Junco | Madeira
MCHE_42187, materiais, Madeira | Palhinha
MCHE_55784, materiais, Cerâmica | Pó de Ouro
MINC_43613, material, Ferro | Madeira | Tintas
MINC_21377, material, Folha-de-flandres | Vidro
MCHE_74651, materiais, Madeira | Metal | Palhinha
MINC_221545, material, Argila > Caolim | Esmalte | Ouro
MCHE_56180, materiais, Cobre | Cristal Bacará
MINC_184186, material, Ferro | Madeira
MCHE_45267, materiais, Cobre | Cristal Bacará
MINC_206036, material, Madeira | Metal
MCHE_51552, materiais, Madeira | Palhinha
MINC_112615, material, Latão
MRCO_35959, material-9, madeira | palinha
MCHE_42128, materiais, Linha | Tecido
MCHE_51784, materiais, Madeira | Palhinha
MBAN_13070, material, Madeira
MCHE_53353, materiais, Cerâmica | Pó de Ouro
MCBC_9216, material, Madeira > Jacarandá | Palhinha
MINC_39297, material, Ferro | Madeira | Tintas
MINC_172817, material, Madeira | Ouro | Tintas
MCHE_65047, materiais, Cobre | Cristal Bacará
MINC_233489, material, 
MINC_189259, material, Madeira > Jacarandá | Palha > Junco | Madeira
MOUR_5687, material-tecnica-3, ferro fundido | latão prensado | madeira recortada
MCHE_63098, materiais, Cerâmica | Pó de Ouro
MINC_231169, material, 
MINC_231742, material, 
MRCO_36011, material-9, madeira | palinha
MCBC_9530, material, Madeira | Metal | Vidro
MCHE_47960, materiais, Madeira | Palhinha
MCHE_57373, materiais, Cerâmica | Pó de Ouro | Tinta
MHNA_163856, material, prata 90
MINC_110004, material, Prata
MASB_61801, material, Madeira
MINC_141034, material, Folha-de-flandres | Tintas
MBAN_10187, material, Madeira
MCHA_18997, materiais_tecnicas-2, Porcelana
MHNA_167998, material, aço inoxidável
MINC_155936, material, Ferro
MINC_161600, material, Madeira | Tintas
MINC_187210, material, Pedra-sabão
MDIA_31139, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | palhinha
MCHA_18904, materiais_tecnicas-2, Porcelana
MCBC_9234, material, Madeira | Metal
MASB_49091, material, Madeira | Metal
MINC_207777, material, Madeira > Jacarandá | Fibra Têxtil > Seda
MCPR_45071, material, Metal > Metal Esmaltado
MCHE_51683, materiais, Vidro
MCPR_44750, material, Metal > Ferro Fundido | Metal > Metal Moldado
MCHE_51240, materiais, Cerâmica | Pó de Ouro
MINC_39737, material, Madeira
MCHE_53821, materiais, Cerâmica | Pó de Ouro
MINC_70608, material, Madeira > Jacarandá | Madeira > Vinhático
MCHA_27740, materiais_tecnicas-2, Vidro
MCBC_10893, material, Madeira | Palhinha
MINC_99560, material, Madeira > Jacarandá | Madeira
MRCO_35967, material-9, madeira | palinha
MINC_205719, material, Madeira
MCHA_15114, materiais_tecnicas-2, Madeira
MCHE_76527, materiais, Prata
MCHA_22106, materiais_tecnicas-2, Porcelana
MINC_46710, material, Prata
MRCO_36273, material-9, madeira
MABO_820, material, argila
MRSJ_22914, material-3, Madeira | Palhinha
MCPR_45129, material, Metal > Metal Esmaltado
MRCO_35772, material-9, madeira | tinta
MCPR_35988, material, Metal > Ferro | Madeira | Metal
MCHE_50664, materiais, Vidro
MCHE_75416, materiais, Madeira | Mármore
MOUR_5227, material-tecnica-3, couro lavrado | madeira | marcenaria | metal
MOUR_6023, material-tecnica-3, dourada | entalhada | madeira esculpida | policromada
MINC_82053, material, Madeira | Tintas
MCHE_60335, materiais, Prata
MCHE_64037, materiais, Cristal | Metal
MINC_231398, material, 
MCHE_60993, materiais, Madeira Jacarandá
MINC_12146, material, Ferro | Latão
MCBC_11710, material, Madeira > Ébano | Metal
MCBC_10747, material, Vidro > Cristal
MCHE_52537, materiais, Cerâmica | Pó de Ouro
MCHE_72657, materiais, Cristal
MINC_82506, material, Folha-de-flandres | Madeira | Tintas
MCHE_58754, materiais, Prata
MCHE_42815, materiais, Prata
MCHE_42420, materiais, Prata
MCHE_56775, materiais, Madeira | Palhinha
MINC_184472, material, Ferro | Madeira > Jacarandá | Latão
MCHE_63791, materiais, Cerâmica | Pó de Ouro
MINC_141430, material, Folha-de-flandres | Tintas
MCHE_46898, materiais, Cristal | Ferro | Tinta com Pó de Ouro
MCHE_61277, materiais, Prata
MCHE_62124, materiais, Madeira | Palhinha
MCHE_53143, materiais, Cerâmica | Pó de Ouro
MINC_31875, material, Argila > Barro | Papel
MINC_5958, material, Madeira > Cedro | Ferro | Madeira > Jacarandá
MCHE_41140, materiais, Cerâmica | Pó de Ouro
MRCO_36009, material-9, madeira | palinha
MRSJ_21193, material-3, Madeira
MINC_18617, material, Madeira > Jacarandá | Latão | Madeira > Vinhático
MINC_141826, material, Folha-de-flandres | Tintas
MINC_30839, material, Madeira | Ouro
MINC_233066, material, Alabastro | Conchas | Madeira
MINC_188321, material, Madeira
MCHE_44995, materiais, Cobre | Cristal Bacará
MDIA_31656, material-tecnica-3, colagem | entalhe | escultura | madeira | marcenaria | papel | pintura | talcita
MINC_183528, material, Ferro | Madeira
MCHE_63280, materiais, Cerâmica | Pó de Ouro
MINC_204292, material, Ferro | Madeira
MINC_231472, material, 
MINC_35759, material, Madeira | Pedra > Talcita | Tintas
MCHE_41554, materiais, Madeira | Palhinha
MCBC_9464, material, Madeira | Vidro
MCHE_76197, materiais, Madeira | Pó de Ouro
MRSJ_23447, material-3, Folha de Ouro | Porcelana | Tinta
MCHE_61836, materiais, Cerâmica | Pó de Ouro | Tinta
MINC_105312, material, Argila > Barro | Esmalte | Verniz
MRSJ_26515, material-3, Madeira | Tinta
MRSJ_18473, material-3, Pedra (alabastro)
MINC_171862, material, Madeira
MCHE_58903, materiais, Prata
MINC_46506, material, Prata
MINC_110098, material, Prata
MCPR_44655, material, Metal > Ferro | Metal > Metal Cinzelado
MCHE_62918, materiais, Cerâmica | Pó de Ouro
MINC_201140, material, Madeira
MINC_184702, material, Couro | Madeira | Tintas
MCHE_41831, materiais, Madeira | Palhinha
MCBC_11484, material, Argila | Vidro > Cristal | Madeira | Metal
MRSJ_23711, material-3, Madeira | Metal | Tinta
MDIA_31518, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | marchetaria | palhinha
MINC_232874, material, 
MCBC_9923, material, Mármore | Madeira > Mogno
MCHE_70098, materiais, Madeira | Palhinha
MINC_82143, material, Madeira | Tintas
MINC_70499, material, Madeira > Cedro | Ferro | Madeira > Jacarandá
MCPR_37916, material, Metal
MINC_222944, material, Madeira | Verniz
MINC_116723, material, Ferro | Latão
MDIA_33278, material-tecnica-3, entalhe | fundição | madeira | metal | policromia | tinta
MCBC_11644, material, Madeira > Ébano | Metal
MCHE_47566, materiais, Cerâmica | Pó de Ouro
MHNA_163535, material, prata
MINC_146589, material, Ferro | Folha-de-flandres
MCHE_74956, materiais, Madeira | Palhinha
MABO_502, material, prata
MINC_42310, material, Madeira > Jacarandá | Marfim
MCHE_63635, materiais, Cerâmica | Pó de Ouro
MRSJ_21355, material-3, Madeira
MCHE_72599, materiais, Cristal
MRCO_36563, material-9, ferro batido | madeira | tinta
MINC_34106, material, Madeira | Ouro
MINC_39598, material, Ferro | Madeira > Jacarandá | Tintas
MCHE_57190, materiais, Prata
MCHA_15794, materiais_tecnicas-2, Madeira | Palhinha
MCBC_10841, material, Vidro > Cristal
MCBC_11674, material, Madeira > Ébano | Metal
MCHE_58634, materiais, Prata
MDIA_34427, material-tecnica-3, madeira | marcenaria | torneado
MDIA_31885, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MRSJ_20545, material-3, Madeira
MINC_110698, material, Prata
MINC_171804, material, Madeira | Purpurina | Tintas
MCHA_25311, materiais_tecnicas-2, Vidro
MDIA_33765, material-tecnica-3, porcelana | queima | tinta
MINC_116911, material, Ferro | Latão
MINC_74507, material, Madeira
MCHE_63914, materiais, Cristal | Metal
MCBC_11427, material, Resina | Vidro
MCHE_74187, materiais, Gesso | Madeira | Pó de Ouro
MINC_228209, material, 
MCBC_10843, material, Vidro
MCBC_10554, material, Argila | Vidro > Cristal | Madeira | Metal
MINC_116864, material, Ferro | Latão
MCHE_63008, materiais, Cerâmica | Pó de Ouro
MCHE_58694, materiais, Prata
MCHA_20648, materiais_tecnicas-2, Porcelana
MASB_61830, material, Madeira > Cedro
MINC_233207, material, Madeira | Pedra > Talcita | Tintas
MINC_100304, material, Ferro | Madeira | Tintas
MCHE_45696, materiais, Cerâmica | Pó de Ouro
MINC_189209, material, Madeira > Jacarandá | Palha > Junco
MCPR_36892, material, Rocha > Argila
MBAN_2966, material, Madeira > Cedro
MCHE_44315, materiais, Cobre | Cristal Bacará
MINC_99377, material, Madeira
MASB_49154, material, Metal > Latão | Metal > Níquel
MCHE_66153, materiais, Cerâmica | Pó de Ouro
MINC_112401, material, Latão
MINC_224328, material, 
MCBC_10470, material, Argila | Vidro > Cristal | Madeira | Metal
MRSJ_28335, material-3, Folha de Ouro | Tinta | Vidro
MCHE_55586, materiais, Cerâmica | Pó de Ouro
MCHE_56544, materiais, Cerâmica | Pó de Ouro
MCHA_28824, materiais_tecnicas-2, Metal
MCHE_73755, materiais, Gesso | Madeira | Pó de Ouro
MINC_185488, material, Madeira
MINC_40999, material, Madeira | Ouro
MINC_46961, material, Argila > Caolim | Esmalte | Ouro
MINC_182584, material, Ferro | Madeira > Jacarandá | Latão
MBAN_5902, material, Rocha > Argila
MINC_175312, material, Madeira
MCHE_72275, materiais, Cristal
MRCO_36121, material-9, esmalte | porcelana | tinta
MINC_183369, material, Madeira | Tintas
MCHA_24469, materiais_tecnicas-2, Porcelana
MCBC_11652, material, Madeira > Ébano | Metal
MCBC_10763, material, Vidro > Cristal
MINC_5085, material, Madeira > Jacarandá | Metal | Madeira > Sucupira
MCHE_74457, materiais, Gesso | Madeira | Pó de Ouro
MDIA_31590, material-tecnica-3, fundição | metal
MDIA_33775, material-tecnica-3, porcelana | queima | tinta
MINC_71182, material, Madeira | Tintas
MCHA_18873, materiais_tecnicas-2, Porcelana
MCPR_36768, material, Rocha > Argila | Pigmento
MCHA_15957, materiais_tecnicas-2, Madeira | Palhinha
MINC_42680, material, Madeira | Osso | Tintas
MINC_186941, material, Ferro | Latão | Madeira
MINC_222990, material, Madeira
MINC_26052, material, Prata
MCHE_52657, materiais, Cerâmica | Pó de Ouro
MINC_158674, material, Madeira
MINC_224928, material, 
MRSJ_16589, material-3, Madeira | Tinta
MCHE_45029, materiais, Cobre | Cristal Bacará
MRSJ_28069, material-3, 
MCHE_73809, materiais, Gesso | Madeira | Pó de Ouro
MCPR_36923, material, Rocha > Argila
MRSJ_21889, material-3, Madeira
